ResponseId,Q2_1,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q7_1,Q7_2,Q7_3,Q7_4,Q8_1,Q8_2,Q4_3,Q8_4,Q9_1,Q9_2,Q9_3,Q9_4,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_8_TEXT,Q11_1,Q11_2,Q11_3,Q12_2,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q13_4,Q14_1,Q14_2,Q14_3,Q14_4,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q17,Q18,Q19
R_Dc95i3oz8XM6PQJ,"California State Prison, Solanoﾊ(SOL)",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,,0,1,1,0,4,0,3,3,3,3,0,0,0,0,0,0,0,1,1,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Sometimes,"Always, or almost always",Never,"Summer time in Solano State Prison is bad, yet what makes it worse here is being locked in our cells while they keep the heaters on.",Please come pay this prison during summer and extreme heat and you will see how miserable we live in here during hot weather and without air conditioning.,
R_3m9b5BZB7W2mMDd,"California State Prison, Solanoﾊ(SOL)",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,,1,1,1,0,3,0,3,3,3,3,0,0,0,0,0,0,0,1,0,1,0,Sometimes,Sometimes,Never,Never,Sometimes,Never,"Always, or almost always","Always, or almost always",Never,"In Solano State Prison when the state of California had rolling black outs, inmates were forced to be locked in their cells with no air at all, it got over 110 degrees F. Also, when the hills caught fire twice, we were forced in out cells locked in with smoke. When California was required to conserve water in droughts, Solano State prion only let inmates shower for 5 minutes every 3 days and flush the toilet 2 times an hour, if inmates used it more, the toilet would not flush for over an hour (they were punished for flushing the toilet more)","Yes, when there re smoky fire, give inmates masks. Reduce retaliation as much as possible. Give ice in hot water and industrial fans and Ac's. In extreme cold allow inmates extra blankets, bennies, gloves, heaters and for all the above, prison officials should be more concerned and treat inmates like humans.","Thank you Ella Baker center and staff, you're a blessing."
R_1hBkEz5cnxQwGf9,Folsom State Prisonﾊ(FSP),36,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,NA,1,NA,1,NA,,1,1,1,0,4,0,1,3,3,3,0,0,0,0,0,0,0,1,0,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,"When i was in Pelicam Bay, during tsunami warnings, a bar was put on the door, preventing the door from opening, leaving us to drown. Folsom stte prison was close to a dam. there are no emergency Plans.",,Thank you for bringing awareness to the impact climate change has on prisons.
R_DdGnYNLSZweft1D,California Health Care Facilityﾊ(CHCF),12,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,"dizziness, light-headedness",0,0,NA,1,3,0,2,2,2,2,0,0,1,1,1,1,0,1,1,1,1,"Always, or almost always","Always, or almost always",Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,"Always, or almost always",Sometimes,"In times of extreme weather (heat or cold) I've been offered beanies, thermals, and wool blankets, while in HDSP and access to water from water faucet at Calipatria and Centinela State Prisons. However, While at High Desert in 2021 a wildfire in a nearby city actually turned the sky black during the day- at hours I was limited to the immediate housing area, unable to breathe and limited to notifying staff to be evaluating by medical with NO alternative treatments such as better ventilation systems in our housing units, etc.","There's not enough available information to provide detailed alternative of consequence. However it is conceivable that the CDCR should provide/allow for an ""evacuation plan"" were a major climate occurrence (ie: flood, earthquake, wildfire) would ACTUALLY be implemented & inmate populations would be rehoused upon back once [???] have been deemed safe to return.",
R_1i8b0qlDqML8PNj,California Health Care Facilityﾊ(CHCF),57,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,3,1,3,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,"Always, or almost always",Never,Never,"Always, or almost always",Sometimes,"Always, or almost always",Never,Sometimes,Never,When there is a power outage in the building I live in (PWC) the water and toilets do not work on the regular emergency power circuits as in other parts of the prison. PWC is unique in this sort of situation when it comes to what is powered during emergency generator power-up.,"Over recent decade there have been a number of different focused audits at various prisons I've been housed in over the past 40+ years of incarceration. However, none of these facility audits looks specifically at the basic structural and infra-structure integrity of prison buildings (ie: electrical in cells during rain storms, plumbing issues, ventilation volume & temps during summer months, toilets shutting off during power outages, etc.) Auditors do not look into these issue during times when roof leaks into cells, or during heat waves in summer to monitor cell temps. Audits should be geared to these issues during affected time periods to witness climate issues when conditions illuminate vulnerabilities.","Question 1 part 1- ""somewhat""
 Question 1 part 2- ""via posted evac diagram""
 Question 2 part 3- ""but there is a diagram posted somewhere in building""
 Question 3 part 2- ""at work only""
 Question 12 part 1- ""partial""
 Question 13 part 5- ""I live in air conditioned building""
 Question 13 part 9- ""Cell sink"" is underlined"
R_3iqxwhe1A5ktLAZ,California Health Care Facilityﾊ(CHCF),48,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,NA,0,1,developed allergies coughing itching throat,0,0,0,0,4,0,3,3,3,3,0,0,1,0,0,1,NA,1,0,NA,0,"Always, or almost always",Never,Never,Don't Know,Sometimes,"Always, or almost always","Always, or almost always",Sometimes,Never,"In New Kern Valley State Prison and Pleasant Valley State Prison in which I had the pleasure of being, Kern Valley Correctional officers used the extreme heat and concrete that burned our skin as punishment when there's a fight on the yard as we had to lay on our stomachs for hours. Also, Pleasant Valley has no grass only dirt blowing around caused valley fever to hundreds of people and severe allergies to others and myself.","There needs to be some kind of safety protocols in place to assure that we are not left in our cells to die, because we aren't considered a priority to most of the correctional officers. We should not be left in our cells to die or become quadrapalegics.","Question 12 part 1- ""No prison has shade for inmates"""
R_3stz2pFRzQV6cpM,California Health Care Facilityﾊ(CHCF),7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,3,1,3,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,Sometimes,Never,Never,Sometimes,Never,Never,"Always, or almost always",Never,Never,None,None,
R_247ykJ7OHof8DTn,High Desert State Prisonﾊ(HDSP),108,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Sometimes,"Always, or almost always",Never,"Yes, in 03'ish while in PBSP the staff placed metal bars on our doors to keep them from opening. This was a response to a possible tsunami warning after an earthquake in Alaska. They were scared after it happened in to Crescent City in the 60's. They left to deal with their families and property- after turning off the lights, nice touch, huh?
 At HDSP there are major problems with the power and the prison's backup generators. [??] days the power goes out during bad weather- extreme cold, heat, wind, rain and snow events.
 The air units on top of buildings are constantly breaking down causing air to completely shut off or fluctuate between extreme hot and cold. This winter has been worse than most with air temps in the cells being in the 50s for many days straight before it was fixed.","Push to close prisons that are in climates with extreme weather conditions- such as deserts and high deserts- and prisons that have crumbling infrastructures (aire, electricity, plumbing and structural issues).
 A system needs to be created so the public and organizations can be notified in realtime by the incarcerated population when a weather related (or other conditions of confinement) issue arises. Also, there must be some kind of body established to advocate, and bring public attention to, whatever the issue is. This means contacting prison administrations and news outlets to apply outside pressure.
 The population has tablets and will soon be able to respond to a watchdog group dedicated to helping resolve any realtime issues. This was happening last week with the flooding in Old Folsom. Just a thought I had for better communication concerning these issues you seek to help us with.
 
 I appreciate your concern for our health and wellbeing. Thank you for listening to me.","Question 9, part 2- Pelican Bay '03 ish (?) when possible tsunami from Alaska earthquake. Locked in [??] cell with metal bar to keep door from opening. Lights off and staff left.
 Question 12 part 4- ""Hosp often""
 Question 12 part 6- ""Since COVID""
 Question 12 part 7- ""just N95s""
 Question 13 part 8- ""rare on yard"""
R_pSJN2sydKL5nPsR,High Desert State Prisonﾊ(HDSP),144,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,drastic weight loss liver problems,0,1,0,0,NA,0,3,1,3,3,0,0,0,0,0,0,0,1,0,0,0,Never,Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,I am here at High Desert and we have extreme cold and extreme heat. We have had no access to water when the power goes out from overheated system. Also when it rains the power goes out as well as when it snows so there is no electricity or water during these extreme conditions. A year ago there was a fire near this prison and we were put on lockedown and the staff left. We thought that was it.,We should have access to fans we should be able to purchase them from [??] that offer them and the ventilation and electrical systems should be renovated and be able to withstand extreme weather. We should also have access to water when the power goes out there should be shade during yard during summer and a covered area to shelter from rain and snow or be provided a rain poncho to not be soaked during yard hours.,
R_bd2nMn5JPO7OGNr,High Desert State Prisonﾊ(HDSP),36-48,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,1,dehydration due to heat,1,1,0,2,3,1,2,2,2,2,0,0,1,0,0,0,0,1,0,1,0,"Always, or almost always",Never,Never,Sometimes,Never,Never,Never,"Always, or almost always",Sometimes,"Wildfires: The prison's air system fills our cells & dayroom with wildfire smoke. People like me with C-PAP machines suffer dearly.
 Extreme heat: The air system does not help in extreme heat. They often put the heater on if we complain via a 602 (inmate grievance).
 Extreme cold: We don't receive proper heating; only pulling in the cold air from outside via our air system. They do not pass out any winter clothing or extra blankets.","We're not treated as people in extreme situations. No shaded areas when it's hot, no restrooms while it's cold due to turning H2O off on yard in winter or being given winter clothing. When the wildfires are close, there's no way to avoid smoke inhalation related issues (cells & buildings filled with smoke)",
R_vGNeiNcuByV72xz,High Desert State Prisonﾊ(HDSP),36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,NA,,0,0,NA,1,NA,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,"Always, or almost always",Never,Never,"Always, or almost always",Never,Never,"Always, or almost always",Sometimes,Sometimes,n/a,should have a training or a memo on what will happen if these types of situation happen. Thank you.,"Question 12 part 4- ""x3"""
R_ymsz14h4vRJh04x,California City Correctional Facilityﾊ(CAC),24,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,NA,,0,1,0,1,3,1,3,2,3,3,0,0,1,1,1,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Never,Don't Know,Never,"California City Correctional Facility. When it comes to wildfires there has been a handful of times when smoke made it to our facility which made it hard to breathe during [??] as well as the smell of the smoke in our cell was unpleasant. There hasn't been too much flooding but these last couple of months has been flooding inside the building and in some cases some cells are being flooded due to the roof leaking so much. [??] extreme heat there is not much to do besides if you have a fan full blast and the water from the sink. The coldness during winter sucks also they really do not put the heater [??] it's usually cold air coming in and they (CDCR) don't allow us to have extra blankets which makes it hard to get sleep at night, causing one to have a runny nose also even sore throat.",I feel they should hold a evacuation plan at least once a year and send out memos to everyone (prisoners) where to go in case of any of the emergencies. Some of these emergencies can also cause mental health issues especially the incarcerated. We have no control over anything to make these experiences manageable. CDCR should provide ice during heat season. Extra blankets during winter. Mask N95 during wildfires and for flooding repair the building so it won't flood.,
R_2vZESI7r6ARdfEx,California City Correctional Facilityﾊ(CAC),8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,,0,1,1,0,4,0,3,3,3,3,0,0,0,0,0,0,0,1,0,0,0,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,"California City Correctional Facility. Are mistreat peoples because this place is close down so they keep us on lockdown and don't tell us why we lockdown if one of the emergencies happened we trap in our cell they go home we e trap in our cell with no help if we write them up you end up in hold with positive test of coronavirus they don't give you no public health lab report to let you know if you detected or not detected they give you round [?] if they have to choose paycheck or help you they choose money over us I try to stay healthy and stay in my bible to I get out of this place ""God will""",We need God help because mankind can't do it we are Divination how to help another in life and show right path it not get better but worse some people's struggle with they old way try to look back when we make good or bad deceit therefore now that you have put away deceit each one of you speak truth with his neighbor because we are members belonging to one another in life I learn not to be lover of money people wrose [?] about debts can't fixed stuff around them if mankind take one step at a time maybe we could take right step untill that happen next people after us will suffers if we don't take right steps.,
R_1QFy3e30mAro4V2,High Desert State Prisonﾊ(HDSP),6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,,0,0,0,1,4,2,0,1,1,1,0,0,0,0,0,0,1,1,0,1,0,Sometimes,Never,Never,Sometimes,Never,Never,Never,"Always, or almost always",Never,Centinela State Prison. Hot 115degrees F and no shade,,
R_3jZgE3z5fdpIP6H,High Desert State Prisonﾊ(HDSP),84,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,,0,1,NA,0,3,1,3,0,1,2,0,0,0,0,0,0,1,1,0,1,0,"Always, or almost always",Never,Sometimes,"Always, or almost always",Never,Never,Never,"Always, or almost always",Never,While we had a wildfire here we was locked in our cell and not able to cover our face with any type of material while we went to [???] call. If we did wear a cloth or anything they would tell us to take it off or it will get taken away.,During times of these events we always will have our electric turned off for long periods of time. It would be nice if they could call a maintenance man on call but they wait until the next day in order for them to fix the problem. I feel it should be an emergency call in for events like outages. During fires at least help us with some type of way to breathe clean air here they just lock us in the cell and the smoke is filled in our cells because there is no filter that stops the smoke from getting in our cells. We just locked in the cell and deal with it.,"Question 12 part 3- but the heat don't always work.
 Question 12 part 6- now we can because of COVID-19 only
 Question 12 part 7- only for COVID-19 masks only, the rest no
 Question 13 part 3- out of [???] only
 Question 13 part 8- out of our cell water [??]"
R_3g7QLAVSBcn9pbA,High Desert State Prisonﾊ(HDSP),60,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,NA,1,arthritis,1,1,NA,1,4,2,1,2,2,NA,0,0,1,1,0,0,0,1,0,1,NA,"Always, or almost always",Never,Never,Sometimes,Never,Never,Sometimes,"Always, or almost always",Never,,"To have a mandatory emergency meeting on how to deal with these situations in prison, if the staff knows and understand these climate emergencies then please share uit with the inmates please! And I believe all prisons should have access to ice, electrolytes like gatorade and protein bars....",
R_3rUlwNRpl1kFmFQ,High Desert State Prisonﾊ(HDSP),9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,NA,NA,NA,0,1,NA,,0,1,NA,0,3,2,2,1,3,3,0,0,0,0,0,0,1,1,0,1,NA,Never,Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,"At this prison (HDSP) during these extremely cold winter days the water pipes have frozen up and there is no running water for drinking the whole duration of yard time.
 Then during the summer there are consecutive days of heat waves. There is nowhere to find shade & the sun is brutal! There are times I would get dizzy & felt like I would pass out.
 Lastly, there have been days of such extreme heat that guys would strip down to boxers and sleep on the floor hoping to find relief (myself included). The back wall of the cell would get so hot that you could feel the heat radiate off the wall. While on rainy days or snow melt our rooms would flood with water from leaky roofs. I mean so much water that it goes from drips to streams that flood the tier & we have to use blankets to catch just some of the water.","Yes, that we would be allowed to buy our own fans & keep them! Or be provided fans during the summer heat waves. And that the roofs be properly repaired so there won't be as many leaks into our living quarters.
 
 Side note: Can you please change my mailing address from Salinas Valley to my current location, ""High Desert."" Thank you.
 [ECH updated]",
R_Z1PRvonDEoGkriV,High Desert State Prisonﾊ(HDSP),9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,
R_25MU198GwjiknsN,Mule Creek State Prisonﾊ(MCSP),36,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,1,NA,0,1,NA,,1,1,1,2,4,2,3,3,0,1,0,0,0,0,0,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Sometimes,"Always, or almost always",Did not answer,"Always, or almost always",Never,"""All prisons"" don't have shady places you can go to when it's hot period! And if you can find a shady place to stand at like against the building's you live in, they'll run you off the wall. They don't care if it's 103 degrees or not, especially prisons in the desert like Calipatria, Centinela, Pleasant Valley and Chuckwalla where at 7:00 in the morning it hits 90' degrees and in places where it snows they don't give you extra blankets, gloves and things like that to keep warm and heaven forbid if they have an alarm go off where there's a fight. They make you lay face down on the ground in the snow or rain, but there is some prisons where they will just have you sit down on the ground like here at Mule Creek, but not many.","They need to address these concerns that are being raised here on the survey and by me like providing us with shaded places you can go to when it reaches anything over 90 degrees and change the lay face down on the floor policy when it rains or snows. Also those so called swamp coolers they have that are supposed to keep us cool when it's hot. They are so out dated that they don't work meaning that they don't do their job and if you're living in a cell you better have a fan and even then, they don't do anything but blow the air that's coming out of those old swamp coolers around so you just have to lay there and do as lil as possible. You know now look at this. They put all the guys who are on extremely heat medications, but everybody else are ass out. You just have to make the best of it and suffer, cause they'll tell you if you don't like it too bad. Don't come to prison & that's why the suicide rate was really high in prisons.","Question 12, part 4- ""many"""
R_27r6pZJ3FWwz42u,Mule Creek State Prisonﾊ(MCSP),24,1,NA,NA,NA,0,0,0,0,0,6,6,1,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,1,1,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,Never,Never,Never,Never,Never,Never,Never,Never,Never,MAIT [?],MAIT [?],"Question 1 part a- ""MAIT""[?]
 Question 3 part a- ""MAIT""[?]
 Question 7- Damien"
R_vDNISwro5aB8FUZ,No Response,n/a,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,NA,1,1,1,0,NA,,NA,0,NA,0,NA,0,2,2,1,0,0,0,0,0,0,1,NA,1,1,1,NA,"Always, or almost always",Sometimes,Never,Never,Never,Don't Know,Sometimes,Sometimes,Don't Know,"Chuckwalla- power outage on some of the hottest days
 There have been several times that the smoke from the wildfires has been so bad that access to the yard has been restricted. The smoke has been a major health problem (esp. to inmates with COPD) and the lack of good air filter problems.","My main recommendation is to provide some type of tent, awning or pavilion in front of medical in order to provide some protections from the elements for the diabetics and those waiting for the meds or to pick up their KOPs. ([????])
 Also change, clean and/or maintain the filters on the air intake systems.
 Establish a preventative maintenance program on their systems esp. pluming and electrical.
 Allow inline esp. during the summer to those inmates feeling the effects of the heat rather than force them to wait for the scheduled inline.
 Also provide some shade on the yard similar as is done in the Florida Prison System",
R_2EH5RXECp4m74tJ,Mule Creek State Prisonﾊ(MCSP),13,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,,1,1,NA,1,3,1,1,2,2,2,1,1,0,0,0,1,0,1,1,1,NA,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Don't Know,Here it is so cold I have to sleep with all my clothes on plus my coat to keep warm.,Turn on the heat during winter but not too hot and turn on air conditioning in summer but not too cold. I don't know why the heat is not on but it gets cold in here!,
R_247dockLuil7fNg,Mule Creek State Prisonﾊ(MCSP),10,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,NA,,1,1,1,0,4,4,3,3,3,3,0,0,0,0,0,0,0,1,1,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,"I have been to Corcoran State Prison, SAT-F State Prison, Solano State Prison, Pleasant Valley State Prison, Susanville State Prison, Avenal State Prison, Salinas Valley State Prison, Kern Vally State Prison, High Desert State Prison & now Mule Creek State Prison where all of those climate emergencies have occurred one way or another & these prison administrators and procedure were not equipped to properly handle these emergencies & do not care of our suffering or pain.","Put people in place of leadership positions that truly care about humans that they are in control & responsible for in prison, regardless of our mistakes we made to be incarcerated.",
R_TjCWr7yHiweRR61,Mule Creek State Prisonﾊ(MCSP),24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,,0,1,1,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,NA,"Always, or almost always",Never,Sometimes,Never,Never,Never,Never,Sometimes,Never,,,
R_1P8hVSbzcJnK8y8,Mule Creek State Prisonﾊ(MCSP),156,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,NA,,1,1,0,2,4,2,1,1,2,1,1,0,0,0,0,NA,NA,1,0,1,NA,"Always, or almost always","Always, or almost always",Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Did not answer,Extreme cold extra thick cotton blanket as opposed to wool blankets,These surveys should help!,
R_25ZLv9NF5r7EbTt,Ironwood State Prisonﾊ(ISP),120,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,0,1,1,2,3,2,0,0,2,0,0,0,0,0,0,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Sometimes,Never,Never,"Always, or almost always",Don't Know,,,"Question 12 part 7- circled ""water, N-95 masks"" and wrote yes, circled ""extra blankets"" and wrote ""no."""
R_1FG3kvHp8cIO683,Ironwood State Prisonﾊ(ISP),60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,,0,1,1,1,1,3,1,0,NA,NA,1,1,1,1,0,0,0,1,0,1,0,"Always, or almost always",Sometimes,Never,Sometimes,Sometimes,"Always, or almost always","Always, or almost always","Always, or almost always",Never,,,
R_2Sj1F13mhbKCXog,California Institution for Menﾊ(CIM),61,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,embolism,0,1,1,0,4,2,3,3,3,3,0,0,0,0,0,1,0,1,0,1,0,"Always, or almost always",Sometimes,Never,Never,Sometimes,"Always, or almost always",Never,"Always, or almost always",Never,"While I was at Centinela State Prison the heat was overwhelming outside, with no shade when you wish to go outside. A lot of dust storms there as well.
 I was involved in a fire at Donovan Prison [RJD] as well and I was smothered in smoke for a few days. The officers put on safety gear and left while I was stuck in the cell. Around 2003-04.","Most prisoners that I talk to have no idea as to what will happen to them once a climate emergency occurs. Most that I've talked to believe that we would be left for dead! Including myself.
 Better clarity for ourselves and our family would be helpful.",
R_1hETpRWkcgfzNiy,California Institution for Menﾊ(CIM),14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,heat stroke and frost bite,0,1,1,0,4,0,2,2,3,3,0,0,0,0,0,0,0,1,0,0,0,Never,Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,"It became a mental toll, affecting our mind, body, soul and rehabilitation.","Limit prison capacity of inmates, provide equipment (yearlong) to lessen climate emergencies, treat us like real human beings, give us better care, and provide humane living conditions for everyone in California Prisons.",
R_2WJePvzu9R79igy,California Institution for Women (CIW),156,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,NA,1,NA,1,0,1,heat seizures,1,1,1,0,3,1,2,2,3,2,0,0,1,0,0,1,NA,1,0,1,0,"Always, or almost always",Never,Never,Never,Sometimes,Sometimes,Never,"Always, or almost always",Never,"VSPW The power and generators were down for 3 days we were locked in cell (8-man) with ice cold showers and three box lunches every day- 2004.
 And I have heat seizures and it gets really really hot here. I have been in CIW since mid 2006 and only this year have I been given an extra/loaner fan. That was put in SOMS. So the staff cannot take it.",Access to cod/water/ice more often and refilled more times a day. As soon as it starts to get hot. Right now it has to be over 90 degrees before we are allowed access to cold/water/ice.,
R_339h2UVfWrtyjzu,Folsom State Prisonﾊ(FSP),18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,,0,1,NA,0,4,2,2,2,2,2,0,0,0,0,0,1,1,NA,0,1,1,"Always, or almost always",Sometimes,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,"When I was in Centidela state prison, I was always subjected to extreme temperatures. this prison and it's staff never did anything about it.","I don't have any recommendations at this time, but I do believe that this should be brought up before committee and address these concerns about he climate and how it is affecting the inmates. Also, how CDCR has not prepared it's staff and/or it's inmates on climate change.",
R_1C8Eo3hT9EE6fW4,Folsom State Prisonﾊ(FSP),20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,,0,1,0,0,4,2,3,3,3,3,0,0,0,0,0,1,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Sometimes,Never,"Always, or almost always","Always, or almost always",Never,Did not answer,Did not answer,
R_w6SL2nfIfMO0QV3,Folsom State Prisonﾊ(FSP),32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,NA,,0,1,1,0,4,4,3,3,3,3,0,0,0,0,0,1,0,1,1,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Never,"Always, or almost always",Never,Here at FSP there are no extra blankets issued during the winter and no iced cold water given during the summer,Did not answer.,
R_2a9La1J8DATGs7J,Folsom State Prisonﾊ(FSP),24,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,,0,1,1,0,3,1,0,0,2,2,0,0,1,1,0,0,1,1,0,1,0,"Always, or almost always",Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Folsom state prison - We have had extra water on the yard in extreme heat last summer. Ice is a privilege to worker in the general population,Did not answer.,
R_12MFK7nf7ApY7Kw,Folsom State Prisonﾊ(FSP),62,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,,0,1,1,1,4,1,2,2,3,3,0,0,0,0,0,0,0,1,0,1,1,"Always, or almost always",Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Did not answer,Did not answer,
